"kanton","jahr","total","reformierte","katholiken","andere_christen","juden","islamisten","andere_religionen","konfessionslose"
"Total","2011","6587556","1830143","2532217","368698","16763","320958","80758","1356795"
"Waadt","2011","585680","167555","181218","35499","2022","26448","7922","152501"
"Wallis","2011","263442","14668","198650","7899","357","7660","1413","29087"
"Genf","2011","351947","38617","128673","18892","3930","20998","5178","124823"
"Bern","2011","828793","469802","132340","53672","959","27914","11297","124502"
"Freiburg","2011","229644","30281","146999","8211","0","8843","1644","30218"
"Solothurn","2011","216599","53275","81371","9961","0","13165","3116","53835"
"Neuenburg","2011","142090","35709","34959","7052","138","5524","1372","54118"
"Jura","2011","57957","6391","39890","2562","0","1335","310","6497"
"Basel-Stadt","2011","158613","30174","31244","8469","1562","13907","3350","67340"
"Basel-Landschaft","2011","232600","80045","66394","12549","371","11761","3078","56579"
"Aargau","2011","516551","144932","183049","33391","318","32276","5945","112256"
"Zürich","2011","1161804","386469","324844","75235","5131","69977","18768","270765"
"Glarus","2011","32882","11266","12001","1257","0","2434","410","5332"
"Schaffhausen","2011","65017","26074","14821","4637","0","4369","933","13579"
"Appenzell A. Rh.","2011","44436","18519","13635","2760","0","1349","578","7202"
"Appenzell I. Rh.","2011","12879","1583","9493","309","0","513","0","874"
"St. Gallen","2011","400542","93772","188923","23623","232","27588","3789","59874"
"Graubünden","2011","163764","58128","72064","6378","0","2562","1335","21796"
"Thurgau","2011","209960","77131","68378","13767","203","12096","2023","34704"
"Luzern","2011","316002","34640","205972","13406","279","13396","3393","42625"
"Uri","2011","29194","1628","23795","948","0","524","0","1935"
"Schwyz","2011","122659","14049","80688","1149","0","4798","1149","16101"
"Obwalden","2011","29653","2391","22037","722","0","774","377","3046"
"Nidwalden","2011","34881","3179","23944","1233","0","1023","259","4817"
"Zug","2011","95010","15747","50776","4993","229","4119","1213","17388"
"Tessin","2011","284957","14118","196060","16494","471","5606","1760","45001"
"Total","2012","6662333","1792064","2544602","378512","16889","328011","88719","1428403"
"Waadt","2012","596537","158928","187280","37439","1940","28128","8959","160477"
"Wallis","2012","267515","16725","200291","7074","292","6746","1907","29647"
"Genf","2012","352950","37875","128669","19119","4224","19583","5322","126951"
"Bern","2012","835001","463420","130055","53759","899","29301","13481","135348"
"Freiburg","2012","234964","30415","148351","7979","190","8594","1783","33627"
"Solothurn","2012","218612","53693","76472","10916","0","14928","2938","58110"
"Neuenburg","2012","143407","34015","35003","7141","242","5324","2003","56360"
"Jura","2012","58457","5898","40678","1986","0","1442","244","7054"
"Basel-Stadt","2012","159333","28434","31657","10220","955","12809","3481","69828"
"Basel-Landschaft","2012","233662","77876","65975","12702","259","11664","3027","59970"
